VertWeld 1 	1 [sec] 	-44.511720140792633 [N] 	0 [N] 	-58.551727934497059 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	6530 [mm] 	-3.2221138107760066E-11 [mm] 	280.15999999999104 [mm] 	Load coordinate system
Stopper 6 	1 [sec] 	-0.36209477916600008 [N] 	0.41924216074744436 [N] 	0.0006186804465073692 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	4120.23973464966 [mm] 	-4725.89373588562 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 6 	2 [sec] 	108362.0810546875 [N] 	-124817.5830078125 [N] 	-689.19650268554688 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	4120.23973464966 [mm] 	-4725.89373588562 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 6 	3 [sec] 	108824.5 [N] 	-125351.9697265625 [N] 	-733.78929138183594 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	4120.23973464966 [mm] 	-4725.89373588562 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 6 	4 [sec] 	105208.6787109375 [N] 	-121186.384765625 [N] 	-626.14422607421875 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	4120.23973464966 [mm] 	-4725.89373588562 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 7 	1 [sec] 	-0.6099644895309666 [N] 	0.55898130164814575 [N] 	0.00089986779460105026 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	4641.02292060852 [mm] 	-4215.60835838318 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 7 	2 [sec] 	136817.69140625 [N] 	-124787.4619140625 [N] 	-822.79840850830078 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	4641.02292060852 [mm] 	-4215.60835838318 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 7 	3 [sec] 	137228.423828125 [N] 	-125163.640625 [N] 	-870.31641387939453 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	4641.02292060852 [mm] 	-4215.60835838318 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 7 	4 [sec] 	134375.6318359375 [N] 	-122561.9150390625 [N] 	-761.8989372253418 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	4641.02292060852 [mm] 	-4215.60835838318 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 8 	1 [sec] 	-0.93061840805330576 [N] 	0.671887059988876 [N] 	0.0009691111603160607 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	5099.04432296753 [mm] 	-3648.31387996674 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 8 	2 [sec] 	156344.75 [N] 	-112336.275390625 [N] 	-857.53725433349609 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	5099.04432296753 [mm] 	-3648.31387996674 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 8 	3 [sec] 	156710.876953125 [N] 	-112600.9677734375 [N] 	-896.929328918457 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	5099.04432296753 [mm] 	-3648.31387996674 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 8 	4 [sec] 	154496.759765625 [N] 	-111010.6396484375 [N] 	-810.7105712890625 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	5099.04432296753 [mm] 	-3648.31387996674 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 9 	1 [sec] 	-1.1911855715716229 [N] 	0.664659343110543 [N] 	0.0012949835399922449 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	5488.10958862305 [mm] 	-3031.68249130249 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 9 	2 [sec] 	170588.123046875 [N] 	-94666.2470703125 [N] 	-885.45126342773438 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	5488.10958862305 [mm] 	-3031.68249130249 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 9 	3 [sec] 	170705.35546875 [N] 	-94733.014892578125 [N] 	-929.76699829101563 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	5488.10958862305 [mm] 	-3031.68249130249 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 9 	4 [sec] 	169188.171875 [N] 	-93891.52587890625 [N] 	-840.07957458496094 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	5488.10958862305 [mm] 	-3031.68249130249 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 10 	1 [sec] 	-0.7146340371837141 [N] 	0.29625740157644032 [N] 	0.0003228641953683109 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	5802.9580116272 [mm] 	-2374.05276298523 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 10 	2 [sec] 	201508.212890625 [N] 	-82877.16552734375 [N] 	-457.007080078125 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	5802.9580116272 [mm] 	-2374.05276298523 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 10 	3 [sec] 	203205.603515625 [N] 	-83577.166015625 [N] 	-484.79208374023438 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	5802.9580116272 [mm] 	-2374.05276298523 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 10 	4 [sec] 	198619.6015625 [N] 	-81691.172607421875 [N] 	-432.06813430786133 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	5802.9580116272 [mm] 	-2374.05276298523 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 11 	1 [sec] 	-0.88982759435020853 [N] 	0.25230737659148872 [N] 	0.00096646366637287429 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	6039.33095932007 [mm] 	-1684.31788682938 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 11 	2 [sec] 	183314.853515625 [N] 	-51473.2509765625 [N] 	-713.04056167602539 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	6039.33095932007 [mm] 	-1684.31788682938 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 11 	3 [sec] 	183866.81640625 [N] 	-51628.228515625 [N] 	-760.04056549072266 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	6039.33095932007 [mm] 	-1684.31788682938 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 11 	4 [sec] 	182240.2734375 [N] 	-51174.67626953125 [N] 	-669.08226776123047 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	6039.33095932007 [mm] 	-1684.31788682938 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 12 	1 [sec] 	-0.553508041848545 [N] 	0.08949003634188557 [N] 	0.00077349526600301033 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	6194.03266906738 [mm] 	-971.805572509766 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 12 	2 [sec] 	162666.736328125 [N] 	-25799.8251953125 [N] 	-839.9876594543457 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	6194.03266906738 [mm] 	-971.805572509766 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 12 	3 [sec] 	162454.349609375 [N] 	-25766.4443359375 [N] 	-887.44073486328125 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	6194.03266906738 [mm] 	-971.805572509766 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 12 	4 [sec] 	163118.083984375 [N] 	-25873.580078125 [N] 	-800.79977035522461 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	6194.03266906738 [mm] 	-971.805572509766 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 13 	1 [sec] 	0.27600191005331 [N] 	-0.011557658712263219 [N] 	-0.00046481751905957935 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	6264.97054100037 [mm] 	-246.151275932789 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 13 	2 [sec] 	156296.75 [N] 	-6381.80859375 [N] 	-1009.5726528167725 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	6264.97054100037 [mm] 	-246.151275932789 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 13 	3 [sec] 	155583.70703125 [N] 	-6353.1973876953125 [N] 	-1055.6798496246338 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	6264.97054100037 [mm] 	-246.151275932789 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 13 	4 [sec] 	158162.94921875 [N] 	-6459.5440673828125 [N] 	-982.07922744750977 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	6264.97054100037 [mm] 	-246.151275932789 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 14 	1 [sec] 	2.22357314825058 [N] 	0.17453766986727715 [N] 	-0.0040411823429167271 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	6251.18565559387 [mm] 	482.83177614212 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 14 	2 [sec] 	151405.099609375 [N] 	11755.642578125 [N] 	-1403.6752319335938 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	6251.18565559387 [mm] 	482.83177614212 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 14 	3 [sec] 	151230.513671875 [N] 	11741.818359375 [N] 	-1460.9814758300781 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	6251.18565559387 [mm] 	482.83177614212 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 14 	4 [sec] 	153830.83203125 [N] 	11941.6533203125 [N] 	-1386.8081665039063 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	6251.18565559387 [mm] 	482.83177614212 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 15 	1 [sec] 	-0.28935644030570984 [N] 	-0.092508235946297646 [N] 	0.00018217964316136204 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	5971.44365310669 [mm] 	1911.10068559647 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 15 	2 [sec] 	132426.01171875 [N] 	42362.329345703125 [N] 	-1224.0595092773438 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	5971.44365310669 [mm] 	1911.10068559647 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 15 	3 [sec] 	132940.25390625 [N] 	42526.61181640625 [N] 	-1282.665283203125 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	5971.44365310669 [mm] 	1911.10068559647 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 15 	4 [sec] 	136509.0546875 [N] 	43668.023681640625 [N] 	-1230.5012817382813 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	5971.44365310669 [mm] 	1911.10068559647 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 16 	1 [sec] 	-1.8706204295158386 [N] 	-0.852554053068161 [N] 	0.0032343213679268956 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	5709.05470848083 [mm] 	2591.74489974976 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 16 	2 [sec] 	119980.9853515625 [N] 	54720.397247314453 [N] 	-783.83504486083984 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	5709.05470848083 [mm] 	2591.74489974976 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 16 	3 [sec] 	120169.6513671875 [N] 	54806.620361328125 [N] 	-828.73733520507813 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	5709.05470848083 [mm] 	2591.74489974976 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 16 	4 [sec] 	123887.125 [N] 	56501.152709960938 [N] 	-780.444995880127 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	5709.05470848083 [mm] 	2591.74489974976 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 17 	1 [sec] 	-2.7186686396598816 [N] 	-1.6440525650978088 [N] 	0.0041709445649757981 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	5369.56882476807 [mm] 	3237.0011806488 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 17 	2 [sec] 	114396.171875 [N] 	69254.920166015625 [N] 	-598.19562411308289 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	5369.56882476807 [mm] 	3237.0011806488 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 17 	3 [sec] 	115344.1142578125 [N] 	69828.8291015625 [N] 	-643.01710319519043 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	5369.56882476807 [mm] 	3237.0011806488 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 17 	4 [sec] 	117094.5908203125 [N] 	70888.103515625 [N] 	-585.17136992514133 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	5369.56882476807 [mm] 	3237.0011806488 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 18 	1 [sec] 	-2.621538519859314 [N] 	-2.035332202911377 [N] 	0.00319126364775002 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	4957.46898651123 [mm] 	3838.48261833191 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 18 	2 [sec] 	117338.498046875 [N] 	91222.0400390625 [N] 	-463.10340881347656 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	4957.46898651123 [mm] 	3838.48261833191 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 18 	3 [sec] 	119324.732421875 [N] 	92765.91748046875 [N] 	-506.46739959716797 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	4957.46898651123 [mm] 	3838.48261833191 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 18 	4 [sec] 	118829.28125 [N] 	92380.830078125 [N] 	-444.75900268554688 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	4957.46898651123 [mm] 	3838.48261833191 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 19 	1 [sec] 	-1.8478854298591614 [N] 	-1.8162476420402527 [N] 	0.00089448188373353332 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	4478.32775115967 [mm] 	4388.05508613586 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 19 	2 [sec] 	116197.2099609375 [N] 	114314.54296875 [N] 	-263.06649017333984 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	4478.32775115967 [mm] 	4388.05508613586 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 19 	3 [sec] 	119160.048828125 [N] 	117230.482421875 [N] 	-290.19718933105469 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	4478.32775115967 [mm] 	4388.05508613586 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 19 	4 [sec] 	116337.1865234375 [N] 	114451.1767578125 [N] 	-251.14616394042969 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	4478.32775115967 [mm] 	4388.05508613586 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 20 	1 [sec] 	-1.7052083015441895 [N] 	-2.1179602742195129 [N] 	0.0030297281919047236 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	3938.62473964691 [mm] 	4878.28683853149 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 20 	2 [sec] 	83938.01416015625 [N] 	104403.8818359375 [N] 	-433.02379989624023 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	3938.62473964691 [mm] 	4878.28683853149 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 20 	3 [sec] 	85360.34375 [N] 	106174.0400390625 [N] 	-477.92397975921631 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	3938.62473964691 [mm] 	4878.28683853149 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 20 	4 [sec] 	84619.18359375 [N] 	105249.7744140625 [N] 	-407.90217208862305 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	3938.62473964691 [mm] 	4878.28683853149 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 21 	1 [sec] 	-0.77492000162601471 [N] 	-1.2319438755512238 [N] 	0.0016375825507566333 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	3345.65854072571 [mm] 	5302.54793167114 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 21 	2 [sec] 	62430.971923828125 [N] 	99407.447265625 [N] 	-366.00701141357422 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	3345.65854072571 [mm] 	5302.54793167114 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 21 	3 [sec] 	63571.095703125 [N] 	101223.861328125 [N] 	-407.16268920898438 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	3345.65854072571 [mm] 	5302.54793167114 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 21 	4 [sec] 	62553.438720703125 [N] 	99601.05078125 [N] 	-339.60841751098633 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	3345.65854072571 [mm] 	5302.54793167114 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 22 	1 [sec] 	0.00419250875711441 [N] 	0.00834641046822071 [N] 	6.7234775087854359E-05 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	2707.44812488556 [mm] 	5655.10129928589 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 22 	2 [sec] 	42117.153137207031 [N] 	88452.31640625 [N] 	-260.07356643676758 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	2707.44812488556 [mm] 	5655.10129928589 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 22 	3 [sec] 	43018.365173339844 [N] 	90345.5224609375 [N] 	-300.82601833343506 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	2707.44812488556 [mm] 	5655.10129928589 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 22 	4 [sec] 	41777.918029785156 [N] 	87738.22265625 [N] 	-231.52849388122559 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	2707.44812488556 [mm] 	5655.10129928589 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 23 	1 [sec] 	0.39761771261692047 [N] 	1.1641418635845184 [N] 	-0.0012295685883145779 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	2032.6241850853 [mm] 	5931.17904663086 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 23 	2 [sec] 	25245.928100585938 [N] 	74188.935546875 [N] 	-191.87901782989502 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	2032.6241850853 [mm] 	5931.17904663086 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 23 	3 [sec] 	25647.153442382813 [N] 	75367.95703125 [N] 	-221.94496774673462 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	2032.6241850853 [mm] 	5931.17904663086 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 23 	4 [sec] 	24648.701416015625 [N] 	72431.107421875 [N] 	-164.10614681243896 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	2032.6241850853 [mm] 	5931.17904663086 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 24 	1 [sec] 	0.43375763297080994 [N] 	2.0076186954975128 [N] 	-0.0020926935831084847 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	1330.31243085861 [mm] 	6127.0477771759 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 24 	2 [sec] 	13177.55029296875 [N] 	61345.7919921875 [N] 	-155.48812675476074 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	1330.31243085861 [mm] 	6127.0477771759 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 24 	3 [sec] 	13278.555419921875 [N] 	61816.0009765625 [N] 	-176.40649795532227 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	1330.31243085861 [mm] 	6127.0477771759 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 24 	4 [sec] 	12487.072998046875 [N] 	58124.0537109375 [N] 	-132.55243682861328 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	1330.31243085861 [mm] 	6127.0477771759 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 25 	1 [sec] 	0.24032697826623917 [N] 	2.4837668985128403 [N] 	-0.0020519175450317562 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	610.010474920273 [mm] 	6240.05889892578 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 25 	2 [sec] 	3467.3284912109375 [N] 	36150.61328125 [N] 	-59.210819244384766 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	610.010474920273 [mm] 	6240.05889892578 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 25 	3 [sec] 	3461.5692749023438 [N] 	36089.5068359375 [N] 	-68.262632369995117 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	610.010474920273 [mm] 	6240.05889892578 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 25 	4 [sec] 	2884.5048828125 [N] 	30021.205078125 [N] 	-41.719764709472656 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	610.010474920273 [mm] 	6240.05889892578 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 26 	1 [sec] 	-0.030739254845684627 [N] 	1.8552021296782186 [N] 	-0.0016635864703857806 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-118.540808558464 [mm] 	6268.68367195129 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 26 	2 [sec] 	-1.1220020635446417 [N] 	58.326857168423885 [N] 	-0.0295157949485656 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-118.540808558464 [mm] 	6268.68367195129 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 26 	3 [sec] 	0.0033461079315202369 [N] 	-0.1884437743728995 [N] 	0.00014389841692263872 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-118.540808558464 [mm] 	6268.68367195129 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 26 	4 [sec] 	0.0070940142395556904 [N] 	-0.38538388999586459 [N] 	0.00010001602390730113 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-118.540808558464 [mm] 	6268.68367195129 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Force Reaction deck 	1 [sec] 	1.5957746634156627 [N] 	-0.91311534247413639 [N] 	10811981.73734927 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	|	|	|	 |
Force Reaction deck 	2 [sec] 	66.79724037001111 [N] 	-32.371094982964713 [N] 	11029455.186657405 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	|	|	|	 |
Force Reaction deck 	3 [sec] 	163.93021717193477 [N] 	-20.470458432206662 [N] 	13985476.781465922 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	|	|	|	 |
Force Reaction deck 	4 [sec] 	132.57992438410562 [N] 	-18.66855525342725 [N] 	8647926.0811338834 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	|	|	|	 |
Moment Reaction deck 	1 [sec] 	0.0[N] 	0.0[N] 	0.0[N] 	9857570.8495097533 [N mm] 	-20138130.86293434 [N mm] 	124.35844393916761 [N mm] 	|	|	|	 |
Moment Reaction deck 	2 [sec] 	0.0[N] 	0.0[N] 	0.0[N] 	255304290.71134856 [N mm] 	-43292562477.6283 [N mm] 	-1266.9938877421089 [N mm] 	|	|	|	 |
Moment Reaction deck 	3 [sec] 	0.0[N] 	0.0[N] 	0.0[N] 	162853685.27161393 [N mm] 	-43637831052.103073 [N mm] 	11236.639436292589 [N mm] 	|	|	|	 |
Moment Reaction deck 	4 [sec] 	0.0[N] 	0.0[N] 	0.0[N] 	203134900.48385611 [N mm] 	-40257259170.419472 [N mm] 	18461.497088974869 [N mm] 	|	|	|	 |
Deck stopper inner 1 	1 [sec] 	1433.9020710248733 [N] 	1244.8771741854548 [N] 	4.540022746368777E-05 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	4244.35567855835 [mm] 	3689.56220149994 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper inner 1 	2 [sec] 	-26628.32150450992 [N] 	-23148.90707143586 [N] 	3.4009741511908942E-07 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	4244.35567855835 [mm] 	3689.56220149994 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper inner 1 	3 [sec] 	-28011.449777752758 [N] 	-24353.646438772637 [N] 	-2.1974718151795969E-06 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	4244.35567855835 [mm] 	3689.56220149994 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper inner 1 	4 [sec] 	-31651.167500536812 [N] 	-27510.11510150601 [N] 	-1.2168611192464596E-05 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	4244.35567855835 [mm] 	3689.56220149994 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper inner 2 	1 [sec] 	-1024.1197385018943 [N] 	-4285.1472975357783 [N] 	-7.7630316809518263E-05 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	1265.08569717407 [mm] 	5479.68816757202 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper inner 2 	2 [sec] 	1129.3092498158876 [N] 	5931.2381469806041 [N] 	-0.00012927487114211544 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	1265.08569717407 [mm] 	5479.68816757202 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper inner 2 	3 [sec] 	175.92677791156393 [N] 	1777.6843293539114 [N] 	5.5536564502745023E-07 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	1265.08569717407 [mm] 	5479.68816757202 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper inner 2 	4 [sec] 	2292.5650880812664 [N] 	11030.051245506347 [N] 	-2.0432393284863792E-05 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	1265.08569717407 [mm] 	5479.68816757202 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper inner 3 	1 [sec] 	-2506.5120183660028 [N] 	5941.4914957703259 [N] 	-8.57245453289579E-07 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-2197.40414619446 [mm] 	5176.75971984863 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
Deck stopper inner 3 	2 [sec] 	-38276.457026412449 [N] 	90312.082671545315 [N] 	7.38371309125796E-05 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-2197.40414619446 [mm] 	5176.75971984863 [mm] 	15.1599999517202 [mm] 	Global Coordinate System
